text,act,scene,actscene
friends joined him as he ran to greet the nurse  mercutio grabbed the train from peter and flapped it up and down the nurse turned and gave him a backhand which sent him flying into the dust  peter she said  here said her companion give me my fan peter  good peter said mercutio picking himself up and rubbing his jaw give her her fan good peter he put on a high voice imitating the nurse she needs it to hide her face the fan is the prettier  the nurse took a swing at him again and he ducked more youngsters had gathered and they cheered mercutio took a bow and they cheered again  good morning gentlemen said the nurse  good afternoon fair gentlewoman  said mercutio sweeping his cap off  is it afternoon she said  oh yes said mercutio the rude hand of the dial is now right on the prick of noon  disgusting she said you disgusting man  when they had all stopped laughing the nurse sat down on the fountain wall and fanned herself gentlemen she said can any of you tell me where i can find young romeo  they all looked at romeo  i can tell you said romeo but young romeo will be older by the time youve found him than he was when you began looking for him yes its me im the youngest of that na,Act 2,Scene 4,Act 2Scene 4
me for better or worse  well said the nurse grinned  that was well said said mercutio youre not hard to please are you  the nurse waved him away and he threw himself on to the ground lifted her skirt an inch and peeked under it and receiving another well aimed slap for that  if you are he id like a word with you she told romeo she winced and blew on her stinging hand  i think shes going to proposition him said benvolio  a whore a whore cried mercutio tally ho  the young men came closer and began walking round her  whats the message said romeo go on he told his friends leave us alone  when youve finished with her come to your house said mercutio bored with the game were all invited to dinner  ill be there said romeo  farewell old girl sang mercutio walking backwards bowing lady lady lady  whos the cheeky one said the nurse when they had gone all those tricks  oh hes just a fellow who loves the sound of his own voice said romeo  if he does that again ill sort him out she said i could deal with twenty like him tell him if i cant i can find someone who will im not the things he called me she turned to where peter was sitting by the fountain trailing his hand in the water and you ca,Act 2,Scene 4,Act 2Scene 4
n stand by and allow everyone to abuse me  peter was up immediately i didnt see anyone abuse you he said and if i had i would have protected you im always ready for a good fight as long as its legal  now as god is my witness im so upset im still trembling she said awful fellow she breathed deeply ah now she looked at romeo as i said i want a word with you my young lady told me to find you what she told me to say ill keep to myself for the time being but first let me tell you if youre leading her into a fools paradise as they say it would be the most wicked behaviour as they say for the poor girl is very young and therefore if youre planning to double cross her then its a despicable thing to do to any young woman she folded her arms and looked defiantly at him  nurse he said give your young lady my compliments i promise you  oh she said ill tell her that lord lord shell be so happy  tell her what said romeo youre not listening  ill tell her that you promise which is such a good start  tell her to find some way of going to confession this afternoon and there at friar lawrences chapel shell be given absolution and married all at the same time here  he pulled a little bag out of his pocket  no she said as she took the money and hid it in her clothing not a penny this afternoon you say well shell be there  wait nurse he said as she turned full of excitement my servant will bring you a rope ladder so that ill be able to get to juliets room tonight goodbye if youre loyal to us ill pay you well goodbye give your mistress my love  bless you bless you sir she said oh listen  what  can you trust your servant  oh yes said romeo hes as true as steel  oh sir my mistress is the sweetest thing lord lord when she was a little chattering thing hmm oh i must tell you  there is a nobleman in town  a fellow named paris  who has designs on her but i can tell you she would rather marry a toad  a very toad  than him i annoyed her by telling her paris is better than you i was only teasing but she grew as pale as a sheet dont rosemary and romeo begin with the same letter  romeo sighed yes nurse but so what both with an r  r it sounds like a dog growling r is for  no its some other letter but my lady has the cutest saying about you and rosemary youd love it i think   give her my love nurse  of course with pleasure she was all smiles peter  coming  go in front of me and hurry,Act 2,Scene 4,Act 2Scene 4
juliet could see by the way the sun hung over the distant hill that it was twelve oclock her nurse had been gone three hours she had promised to return in half an hour  perhaps she hadnt found him no that couldnt be oh nurse was pathetic the messengers of love should be as light as thoughts traveling ten times faster than sunbeams pushing all doubts and fears away as light does to threatening shadows  thats why loves coach is always drawn by swiftly flying doves thats why cupid has wings  if her nurse had any feelings  any passion whatsoever  her message would travel as fast as a tennis ball the nurse would be the ball juliet would serve and romeo would return it just as fast but like all old people the nurse might as well be dead she was clumsy slow heavy and dull like lead juliet stuck her head out of the window every few seconds searching the alleyway along which the nurse would come  and at last there she was  juliet flew downstairs and into the garden meeting the nurse as a servant was opening the gate for her she flung herself at her old friend  oh honey nurse what did he say did you find him send your serv,Act 2,Scene 5,Act 2Scene 5
ant away  peter said the nurse stay here at the gate  now dear sweet nurse said juliet as they got out of earshot of the men at the gate she turned and stood right in front of the nurse oh lord why are you looking so sad even if its bad news tell it with a smile please nurse or if its good dont spoil the music of good news with such a sour face they were passing a shady bower with a garden bench whew i m exhausted said the nurse leave me alone for a while she sank down on to the bench oh my legs ache such a tiring journey  juliet wanted to scream with impatience you can have my legs if you would just give me your news please nurse i beg of you tell me please dear dear nurse tell me  jesus said the nurse leaning back panting what a hurry youre in cant you wait a minute cant you see im out of breath  how can you be out of breath when youve got enough breath to tell me youre out of breath your excuse for not telling me is longer than the simple yes or no which is all i want  juliet knelt on the grass in front of the nurse is it good or is it bad  the nurse shook her head sadly well all i can say is that youve made a,Act 2,Scene 5,Act 2Scene 5
 bad choice youve no idea how to choose a man romeo no not him hes not the one  juliet drew back giving the nurse a look of incredulity but the nurse hadnt even paused to draw breath although hes more handsome than any other man and hes got better legs and as for the rest of him his hands and feet and the whole of his body for that matter she leant forward and whispered although we mustnt talk about those things  they are beyond compare  juliet didnt know whether to laugh or to cry with frustration as the nurse went on  hes not the absolute flower of good manners of course but ill bet hes as gentle as a lamb prodding juliet playfully in the ribs  she got up suddenly and yawned off with you now girl get on with it have you had your dinner  no said juliet but i knew all those things about romeo before what did he say about us getting married what about that  the nurse slid back on to the bench and lay reclining lord what a headache ive got its pounding so hard that it feels as though its going to break into twenty pieces  she tried to stand up oh my back shame on you sending me all over the place like that itll be the death of me  honestly said juliet ready to burst im very sorry youre not well sweet sweet sweet nurse what did my love say  the nurse heaved a huge sigh your love says like an honest man and a courteous and a kind and a handsome and i have no doubt a good  she stopped suddenly and looked towards the house wheres your mother  where is my mother juliet threw up her hands in there of course where do you think she is what a strange answer your love says like an honest man where is your mother  good god my dear young woman said the nurse bad tempered with me is this the thanks i get for my aching bones do your own dirty work from now on  this is impossible groaned juliet come on what did romeo say  the nurse stopped rubbing her back and took juliets hands have you got permission to go to confession today  i have  then get yourself to friar lawrences cell as fast as you can theres a husband waiting there to make you a wife hurry i have one more thing to do i have to get a rope ladder so that your lover can climb up to your love nest as soon as its dark she turned off with you im going to have my dinner go on hurry,Act 2,Scene 5,Act 2Scene 5
it was cool in the chapel romeo watched heat waves rising above the wild flowers which grew unhindered across the hillside  may heaven bless this holy ceremony so that we wont regret it later friar lawrence was saying  yes yes said romeo he didnt take his eyes off the door but whatever sorrow may come it couldnt cancel the joy i get from seeing her for even a moment you just join our hands with holy words and after that it doesnt matter what happens its enough that shell be my wife  friar lawrence tutted such extreme emotions often end in disaster  they explode like gunpowder be careful my boy even honey can become sickly precisely because its so sweet and eventually you cant face it so dont go overboard on this loving of yours it will last longer if you take it easy if you go too fast youll fall  but romeo wasnt listening he had been watching the brow of the hill and when juliets head appeared he sprang up and rushed to the door while the friar was still talking  she came running so lightly that it was as though she wasnt touching the ground  by the time she got to within ten yards of the chapel she was in her lovers arms they clung to each other and he kissed her again and again friar lawrence prized them apart gently  dear juliet said romeo if you are as happy as i am and can express it better then tell me how much happiness you imagine we have when we add it all up  as usual you say ridiculous things she said you speak extravagantly and dont talk about imagined love our love is real and people who can count their wealth are poor my true love has grown so huge that i couldnt measure half of it  come on come on said friar lawrence enough of this nonsense lets get on with it follow me,Act 2,Scene 6,Act 2Scene 6
it was hot the only movement came from a lizard that broke cover and streaked through the white dust of the piazza to the safety of an ivy covered wall the goats and chickens and piglets were silent and the market traders dozed beneath their awnings  dinner ended at the montague house benvolio and mercutio and the friends who had been with them left their hosts to their siesta and sauntered through the scorching piazza when they reached the fountain mercutio bent over towards it and splashed water at the others  come on now mercutio said benvolio lets go its very hot and were right outside capulet s house if we should bump into any of them theres bound to be trouble tempers are short in this heat  mercutio laughed look whos talking youre the biggest troublemaker of all  youre like the fellow who goes into a pub slams his sword down on the counter and cries i hope i wont need you and then after his second drink challenges the landlord for no reason at all  who me said benvolio they were all pointing at him and laughing  come on now whats this innocent act said mercutio youre as hot a fellow as any in italy he winked at the others who demonstrated their agreement by thumping benvolio on the back jeering pretending to protect the,Act 3,Scene 1,Act 3Scene 1
mselves from him and generally fooling about youre as quickly aroused as anyone  aroused to what said benvolio sitting down and scooping water over himself  what said mercutio if there were two like you there would soon be none youd kill each other you youd quarrel with a man who had one hair more or less than you in his beard encouraged by the laughter including benvolios now he continued youd quarrel with a man for cracking nuts having no other reason than that youve got hazel eyes your head is as full of quarrels as an egg is full of yolk  in fact your brains have been scrambled by the number of times youve had your head punched  mercutio was precariously balanced on the fountain wall and benvolio seized the moment and pushed him mercutio landed in the water with a great splash he lay at the bottom holding his breath his friends grew silent then just as they were beginning to be worried his head popped up  you have quarreled with a man who coughed and woke your dog sleeping in the sun he continued when the cheering had subsided he climbed out and sat on the wall again didnt you once fall out with a tailor for wearing his new waistcoat before easter  and someone else for tying his new shoes with old laces and you lecture me ,Act 3,Scene 1,Act 3Scene 1
on quarrels  huh said benvolio if i were as quick to quarrel as you noone on earth would bet on my life lasting longer than an hour and a quarter  oh what began mercutio but benvolio interrupted him he had just seen a group of young men coming out of the capulet mansion careful he said here come the capulets  mercutio didnt even turn round he carried on pouring water over his head so what he said  there were about a dozen of them they strode purposefully towards benvolio and his friends their leader was easily recognizable by his swagger and general air of self assurance it was tybalt mercutio began whistling  stay close behind me tybalt told his companions ill do the talking gentlemen good afternoon id like a word with one of you  is that all said mercutio just one word with just one of us  he resumed his whistling and pretended to wash his armpits lets have a bit more than just one word add something to it make it a word and a blow  youll find me ready for that sir if you give me any reason said tybalt his voice was cold and controlled  couldnt you find some reason said mercutio he began polishing the fountain head  spitting polishing spitting again and rubbing at one spot with great concentration  the others relaxed seeing ,Act 3,Scene 1,Act 3Scene 1
that mercutio was determined to turn it into a joke and they laughed he looked so funny that the capulets joined in tybalts face was grim though he took a few steps forward until he was standing just a yard from mercutio who was still polishing  mercutio you consort with romeo he said  consort mercutio stopped his cleaning and looked round at tybalt for the first time what are you making musicians of us he stood up he jumped down so that he was standing on the dry earth of the piazza if you make musicians of us dont expect anything but discords he drew his sword heres my fiddle bow heres the thing that will make you dance god almighty consorts  he had taken tybalt by surprise tybalt stepped back and stood for a moment undecided  benvolio had a terrible feeling that in spite of mercutios clowning it could develop into something nasty look here he said this is a public place either discuss it rationally or lets go somewhere private or better still lets just go home everyones looking at us  tybalt planted himself squarely and drew his sword mens eyes were made for looking he said i wont budge for anyone  mercutio looked as though he was going to make an opening move but instead of engaging with tybalt he lowered the point of his ,Act 3,Scene 1,Act 3Scene 1
rapier and buried it in the ground then he leant on it and began whistling again everyone clapped even tybalt smiled it might have ended there if romeo hadnt come running towards them shouting  benvolio mercutio  well never mind said tybalt here comes my man  i dont see him wearing your uniform said mercutio if you think hes your man then youll find out how right you are lead on to the dueling field and youll discover that hes your man alright  romeo was out of breath when he reached them he leant over the fountain and drank deeply  romeo said tybalt  romeo turned and smiled hi s face was dripping water  theres only one thing i have to say to you tybalt drew himself up you are a scoundrel he hadnt put his rapier away and he raised it now in a challenge even though romeo wasnt wearing a sword  tybalt  said romeo i have good reasons for excusing this behaviour of yours but dont call me a scoundrel ill say goodbye now it s best to ignore you if you re going to be like this he turned back to the fountain to the accompaniment of applause from his friends and catcalls from tybalts followers  boy said tybalt and they all went quiet again this wont excuse your insult to me so turn and draw romeo turned and put his hand out come on now,Act 3,Scene 1,Act 3Scene 1
 he said ive never insulted you i love you more than you can imagine  there was applause again but mercutio who had been nodding his approval until now stopped smiling as he watched tybalt ignore romeos extended hand he looked from the one to the other  youll know the reason for my love very soon continued romeo and so dear capulet whose name i respect as highly as my own be patient till then  there was nothing tybalt could do if romeo refused to take up his challenge there was nothing for it but to leave he turned to go mercutio sprang up how can you let him push you around like that he said submit to him if you like but i wont hey tybalt you ratcatcher youre not leaving are you  tybalt turned why what do you want  mercutio drew his rapier my dear king of cats he said only one of your nine lives i intend taking it from you and depending on how you behave after that beat the other eight with a stick he bowed will you be so kind as to draw your sword out of its scabbard by its ears hurry if you please or mine will be around your ears before you know it  tybalt smiled well sir he drew his sword i am for you  no said romeo as the two faced each other their swords poised please please mercutio put your rapier away  mercutio took u,Act 3,Scene 1,Act 3Scene 1
p an exaggerated en garde position which made his friends laugh he was being absurd as usual but noone was worried because they all knew that he was one of the best swordsmen in verona romeo was the only one whose face showed concern  come sir said mercutio your passado tybalt soon realized that he wasnt going to get anywhere with mercutio who was using this opportunity to demonstrate his clowning abilities rather than his fencing skills the supporters on both sides hooted at his antics even tybalt laughed when his opponent backed up to the fountain fell in the water and emerged again spraying them all with a jet from his mouth only romeo couldnt laugh he seemed unusually upset help me benvolio he said draw benvolio beat down their weapons  but benvolio was enjoying the show he was weak with laughter romeo ran in front of mercutio mercutio stop it then tybalt please stop then pushing mercutio out of tybalts way stop the prince has forbidden this in verona dont you remember oh please stop both of you  a crowd had gathered and they were all laughing then suddenly for no apparent reason tybalt froze he stared at mercutio for a few moments then turned and followed by a handful of his closest friends began walking away swiftly rome,Act 3,Scene 1,Act 3Scene 1
os relief was so great that he jumped at mercutio and embraced him  mercutio clung to him he had an agonized expression on his face im hurt he said curse both your houses he clutched his side and grimaced round at the crowd they roared he broke away from romeo and tottered towards the laughing faces ive had it he told them and they laughed even louder he swayed his legs buckled and he fell  benvolio wiped a tear and trying to bring his laughter under control knelt beside his friend what are you hurt he grinned round at the crowd and they cheered  just a scratch said mercutio but its enough more cheering wheres my page said mercutio tell him to go and get a doctor  romeo noticed a small blood stain on mercutios shirt but it couldnt be serious because of the way his friend was clowning come on mercutio he said the wound cant be that bad  no said mercutio its not as deep as a well nor as wide as a church door but its enough it will do the crowd was clapping mercutio raised himself on to his elbow and saluted them ask for me tomorrow he said and you will find me a grave man they fell about mercutio dropped back on to the ground  romeo knelt down and mercutio gripped his hand ive had it he was gasping romeo he said curse both your ,Act 3,Scene 1,Act 3Scene 1
houses god to be killed by a dog a rat  a mouse  a cat an arrogant poser like that why did you keep coming between us he got me under your arm  i was only trying to help said romeo mercutio must be exaggerating it couldnt be that bad  benvolio said mercutio his voice was scarcely more than a whisper help me into the house or ill pass out  romeo and benvolio lifted him benvolio slung mercutios arm over his shoulder and the two began walking to the montague mansion mercutio kept falling down and getting up again the onlookers applauded romeo went and sat on the fountain wall he didnt join in with the banter he wasnt sure what to think mercutios words were bitter but then he always spoke in that way it was a comical sight mercutio leaning on benvolio and putting on a funny walk  when they had gone some way mercutio turned both your houses he shouted then slumped against benvolio theyve made worms meat of me he whispered ive had it curse your houses  benvolio helped him into the house romeo found himself alone as the others moved away all the fun being over he was sure mercutio wasnt badly hurt but he couldnt dispel the thought that even if it wasnt too bad it was his fault mercutio his friend close relative of the prince had got ,Act 3,Scene 1,Act 3Scene 1
this wound on his behalf the more he thought about it the more miserable he became  he thought about the insults tybalt had launched at him  tybalt who was his cousin now he should have answered his challenge he had been taken off guard by juliet s beauty and gone soft  turned into a coward benvolio was running towards him  oh romeo he said as he came near mercutios dead  romeo felt the shock as though someone had hit him it wasnt true it couldnt be he hadnt been pretending the wound had been worse than any of them had thought  theres going to be more of this he said i can feel it this is only the beginning  theres tybalt again said benvolio as tybalt came out of the capulet house romeo was up in a second he pulled benvolios sword out of its scabbard and dashed across the piazza  tybalt he yelled you called me a scoundrel take it back mercutios dead and one of us will go with him  tybalt stopped his face was grim you wretched boy he said youll be the one to go with him romeo waved the sword this will decide that he said  the fight was bitter and furious there was no room for posturing no time for niceties it was a fight to the death both lost their rapiers during the exchange and it turned into a test of physical strength as t,Act 3,Scene 1,Act 3Scene 1
hey punched and scratched and kicked each other romeo came close to suffocation at one point as tybalt got him round the neck and tried to squeeze the life out of him but he struggled out of it and backed away then their friends rearmed them  the piazza was crowded now as what seemed like the whole of verona watched all the earlier humour and laughter had gone this was a serious fight and even benvolio didnt try to stop it romeo was exhausted but he summoned up all his stamina and as soon as he saw his chance he took it  his rapier pierced tybalt through the chest he felt the weapon give as it passed through tvbalts body and he saw tybalts shirt begin to turn red then time seemed to stop it was as though nothing moved he pulled his rapier out and tybalt fell the fiery capulet was dead before he touched the ground benvolio couldnt take it all in all he could think was thank god it was tybalt rather than romeo as he stared at the young capulet lying on his back his eyes still open  run romeo he shouted dont stand staring its death if they catch you get going  oh fate has destroyed me said romeo  what are you waiting for said benvolio there was only one place romeo could go he took a last look around and fled a group of guards ap,Act 3,Scene 1,Act 3Scene 1
proached benvolio  wheres the man who killed mercutio one of them demanded which way did tybalt go  there he is said benvolio pointing to the body  come with me said the guard as a trumpet fanfare sounded across the piazza  i arrest you in the name of the prince  word of mercutios death had spread fast as the prince strode into the piazza montagues men were bringing mercutios body out montague and his wife accompanied them the capulets came out of their house too and the four stood and faced the prince as they had done only the day before the guards lifted tybalts body and lay it beside mercutios  where are those who started this quarrel said the prince  benvolio sank to his knees noble prince i can tell you everything he pointed to tybalts body there he is killed by young romeo for killing your cousin mercutio  lady capulet fell down in the dust and kissed tybalts face oh my brothers child she wailed she looked from the prince to her husband oh prince the blood of my nephew has been spilt i want revenge i want the montagues blood she lay her head on tybalts chest oh nephew nephew she sobbed  the princes main emotion was anger benvolio he said who started this  benvolio told the prince how gently romeo had spoken to tybalt had,Act 3,Scene 1,Act 3Scene 1
 said he hadnt wanted to fight mentioned the anger the prince would feel and then how tybalt had turned on mercutio who just as angry started quarreling until it came to blows he told the prince how romeo had tried to stop them how mercutio had been wounded under his arm it was only then once mercutio had been killed that romeo had attacked tybalt  hes a montague cried lady capulet naturally hes biased and hes lying it wasnt just the two of them fighting  there were at least twenty all fighting i want justice and you must give it to me prince romeo murdered tybalt romeo must die  romeo killed tybalt and tybalt killed mercutio said the prince who should pay the price for tybalts death  not romeo montague was on his knees not romeo prince he was mercutios friend he only did what the law should have done  and for that we must exile him the prince pointed at capulet and then at montague youve dragged me into your hatred now my own cousin lies there bleeding im going to fine you so heavily that youll be sorry for it ill be deaf to all pleas and excuses so dont even try he looked at montague im sick and tired of this if im too lenient therell only be more killing let romeo go immediately else when hes found that hour will be his last,Act 3,Scene 1,Act 3Scene 1
juliet was impatient for the night to come it seemed that the day would go on forever she wished the god of the sun would whip his horses so that they would carry him faster to the distant west and allow night to fall like a thick curtain then her husband could come to her in secret who needed daylight lovers didnt their own beauty was light enough to see by in any case if love is blind night is the best time for it  she sat in her room marveling at how long a day can be she thought about what would happen when the night finally fell and romeo was with her how she would give herself to him and by so doing win him forever the darkness would hide her blushes when they made love she went to the window and gazed out over the orchard where romeo had stood  it was so frustrating she had bought a house of love but not yet taken possession of it  she was like some brand new item that hadnt yet been used oh what tedium she felt like a child on the night before an important day who has all her new clothes lined up but wasnt allowed to wear them until morning  her nurse came slow,Act 3,Scene 2,Act 3Scene 2
ly up the path from the gate yes she had the rope ladder but she didnt look very happy perhaps she was tired juliet left her room ran as fast as she could through the halls and down the stairs  and reached the nurse before she got to the door  hello nurse she said what have you got there the rope ladder that romeo asked you to get  yes    yes said the nurse the rope ladder her voice was dull she sat down on a bench and dropped the ladder she didnt look at juliet she just shook her head slowly and began wringing her hands  oh dear  said juliet whats wrong why are you wringing your hands  oh no oh no said the nurse hes dead hes dead hes dead its all over  all over may god help us hes gone hes killed hes dead  juliet went cold did she mean romeo she was numb can heaven be so hostile she said  no said the nurse but romeo can oh romeo romeo who would have thought it romeo  what kind of monster are you saying such things said juliet torturing me like this has romeo killed himself just say yes or no  the nurse still didnt look up i saw the wound with my own eyes right here sh,Act 3,Scene 2,Act 3Scene 2
e placed her hand on her breast a pitiful corpse a blood drenched pitiful corpse it was pale pale as ashes and all covered in blood i fainted when i saw it  juliet lay on the ground and sobbed her heart was broken she never wanted to open her eyes again she wanted to die right there and then and be buried in the same coffin as romeo  tybalt tybalt wailed the nurse the best friend i had o dear tybalt good tybalt i never thought id live to see you dead  juliet sat up why are you contradicting yourself she said is romeo killed and is tybalt also dead both my beloved cousin and my even more beloved husband then come on doomsday sound your trumpet because who is alive if those two are dead  tybalt is dead and romeo banished said the nurse that romeo who killed tybalt  hes banished  oh god shrieked juliet did romeo kill tybalt  he did he did oh god help us he did sobbed the nurse  i cant believe it exclaimed juliet oh the scoundrel a snakes heart hidden by a handsome face did ever such a beautiful cave harbour such a dragon a beautiful monster an angelic devil evil in the cl,Act 3,Scene 2,Act 3Scene 2
othes of good  just the opposite of what he seemed i cant believe that hypocrisy could live in such a gorgeous palace  no said the nurse you cant trust any man theyre all liars all hypocrites huh wheres peter bring me some brandy all this sorrow is aging me shame on romeo  juliet leapt to her feet her eyes flashed as she shook her finger at the nurse i hope your tongue is blistered for saying that she cried theres no shame on romeo oh what a beast i was to criticize him are you going to speak well of the man who killed your cousin  do you want me to speak badly of the man who is my husband said juliet oh my poor husband who will support you when i your wife of three hours abandons you she shook her head sadly but why scoundrel did you kill my cousin  peter brought a flask of brandy and the nurse grabbed it and waved him away  juliet had sat down on the grass again if he hadnt killed tybalt that scoundrel tybalt would have killed him she said why am i crying my husband is alive tybalt wanted to kill him but tybalts dead now  the villain who wanted to kill my husband its all good news so why am i crying there is something you said nurse thats worse than tybalt s death i wish i could forget it but its haunting me tybalt is dead and romeo banished you said nurse that banished that one word banished is like the death of ten thousand tybalts tybalt s death would have been bad enough if it had ended there but romeos worlds been destroyed the word banished is the worst sounding word in our language where are my parents nurse  theyre crying over tybalt s body do you want to go to them ill take you  are they washing his wounds with tears ive got more tears for romeos banishment than theyll ever have for tybalt s death take the rope ladder away romeos already gone she stood up im going to bed and ill die there with death as my lover instead of romeo  the nurse put her arm around juliet thats right go to your room ill try and find romeo i think i know where he is listen love romeo will be here tonight ill make sure of that ill go to him hes hiding at friar lawrences chapel  oh find him said juliet give him this ring and tell him to come to me,Act 3,Scene 2,Act 3Scene 2
romeo come out of there come out friar lawrence had just returned from verona dismayed at the events there that afternoon he stood in front of the stone altar before which he had married the young couple romeo had crawled underneath it and he lay now pressing himself into the darkest corner you poor fellow said friar lawrence so overwhelmed by unhappiness  romeo edged out slowly his face was pale he did not get up father have you any news what is the princes sentence whats going to happen to me  its not so bad said the friar ive brought you news of the sentence  what could be not so bad about a death sentence  a less harsh sentence not death but banishment  banishment romeo rose to his knees and clutched the friars robes oh be merciful father say death exile is far more terrifying to me than death dont say banishment  youve been banished from verona thats all be grateful veronas not everything the worlds a big place theres nothing beyond the walls of verona said romeo only torture  hell itself so banished means banished from the world and that means death banished is only another word for death  oh sinner said friar lawrence you ungrateful boy you dont know how lucky you are the law calls for your death but the ki,Act 3,Scene 3,Act 3Scene 3
nd prince has taken your side and ignored the law hes converted your sentence to banishment hes being merciful and you cant see it  romeo was crying he flopped down again torture not mercy heaven is here where juliet is and every cat and dog and little mouse  every insignificant thing  can see her but i cant even flies have more rights than i have they can touch her hand and kiss her lips but i cant im banished flies can do this but i have to abandon it they are free men but i am banished and you say its better than death romeo s eyes were red and his cheeks were wet havent you got some poison or any way of sudden death no matter how nasty it would be better than banishment banished oh friar the damned use that word in hell how can you have the heart  a priest one who calls himself my friend  to hack at me with that word banished  you crazy foolish young man listen to me the friar gripped his shoulders  romeo put his hands over his ears oh youre going to talk about banishment again  be philosophical the friar told him it will comfort you even though youre banished  there you are still going on about banishment to hell with philosophy unless philosophy can make a juliet move a town change a princes mind its useless,Act 3,Scene 3,Act 3Scene 3
 so dont keep on  oh said the friar you wont listen i see that madmen have no ears  how could they when wise men have no eyes  no said the friar i have to disagree with you i will eventually persuade you  never you cant talk about something you havent felt said romeo look here if you were my age and juliet your love and you had been married for only an hour and tybalt had been murdered  in love like me and like me banished  then you could talk you would also tear your hair and grovel on the ground like me thinking of only one thing your grave  there was a loud rapid knocking on the door  quick  said the friar get up hide quick  no said romeo i don t care what happens to me im not hiding unless i can lose myself in a mist made of my own groans  the knocking was louder now  listen to that whos there get up romeo theyll catch you  more knocking  run to my study and perhaps friar lawrence shook his head when romeo refused to get up what stupidity is this he turned to the door im coming im coming  the knocking continued the friar hurried to the door and pressed his ear to it  whos that what do you want  let me in a voice called and ill tell you the lady juliet sent me  the friar slid the bolts back welcome then he said,Act 3,Scene 3,Act 3Scene 3
  o holy friar o tell me holy friar said the nurse where s my lady s husband where s romeo  the friar pointed to the interior of the chapel hes here drunk with his own tears  oh its the same with juliet said the nurse just the same she followed the friar to the altar where romeo lay distraught shes lying there just like that blubbering and crying crying and blubbering she jabbed romeo with her toe get up get up if youre a man she bent down and took his hand for juliets sake get up  romeo rose unsteadily to his feet nurse did you say juliets name how is she doesnt she think im a murderer now that ive killed her cousin where is she how is she what does she say about the end of our love  she doesnt say anything said the nurse she cries and cries  just throwing herself on her bed then getting up again calling tybalt then romeo then falling on her bed again  as if my name was like a bullet said romeo as though my names hand had murdered her cousin he grabbed the friars arm please tell me friar whereabout in my body is my name tell me so that i can cut it out he pulled out his dagger both the nurse and the friar leapt at him he struggled to get his hand free and tried to stab himself the friar got him in an arm lock and,Act 3,Scene 3,Act 3Scene 3
 the nurse snatched the dagger  what are you doing said the friar what kind of man are you you look like a man but your tears are a womans and your wild acts are an animals im surprised at you i really thought you more grown up perhaps youve killed tybalt but are you going to kill yourself too and kill the wife who only lives for you the friars voice was raised why are you cursing your birth and heaven and earth theyre all part of you do you want to lose them all by killing yourself  the friar could see that romeo really wanted to die he tried to reason with him speaking fast telling him that if he killed himself he would be sinning against the love he shared with juliet as well as against himself breaking his promise to look after her what man pull yourself together think about it its all positive juliet is alive  the one you want to die for thats a plus tybalt wanted to kill you but you killed him instead thats a plus the law that condemned you to death became your friend and turned it to exile another plus  the nurse was smiling gazing at the friar romeo had stopped crying and was listening with bowed head  you see said the friar its all pluses happiness follows you and what do you do you behave like an ungrate,Act 3,Scene 3,Act 3Scene 3
ful spoilt child be careful my boy people like that die miserable  he could see that he was getting through to romeo at last the young man was standing up properly now even nodding at his words the nurses hands were clasped as though in prayer  go on continued the friar go to juliet climb up to her room and comfort her  romeo turned  wait said the friar make sure you don t stay until the watch goes on duty because then you wont be able to get away go to mantua thats where youre going to live until we get the chance to announce your marriage well beg the princes pardon and youll be able to come back joyfully go on nurse run ahead and tell her to try and get everyone to go to bed early  which theyll probably do anyway because of their grief tell her romeo is on his way  oh lord said the nurse i could stand here all night listening to good advice like this what it is to have an education here she held a ring out to romeo she told me to give this to you hurry now because its getting late  im alright now said romeo when the nurse had gone  go on said the friar good night and listen either set off before the watch comes or leave in disguise stay in mantua ill keep you informed ill send your man as soon as theres any news,Act 3,Scene 3,Act 3Scene 3
lady capulet watched the two men her husband stood at the window his hand on paris shoulder  with all these sad things we havent had time to persuade our daughter look here she loved her cousin tybalt dearly and so did i he sighed well we all have to die  he looked apprehensively at his wife who was reclining on a sofa its very late he continued his voice low she wont come down tonight i must say if you hadnt been here i would have been in bed long ago  paris thought it best to leave this is the wrong time for such matters he said he went and stood before lady capulet good night madam give your daughter my compliments  i will  said lady capulet and ill let you know what she says early tomorrow shes heartbroken tonight  as paris was about to leave capulet called him back on second thoughts ill take the risk and say yes shell do as i tell her he snapped his fingers wife go and see her in the morning and tell her about my son paris love for her and tell her  listen  tell her next wednesday wait whats today  monday said paris  monday capulet laughed well wednesday is too soon thursday make it thursday tell her shes getting married to this noble earl on thursday capulet looked sharply at paris will you be ready then is it too soon he didnt wait for an answer  we wont make a fuss about it  just a friend or two because listen tybalt being murdered so recently it would be disrespectful if we celebrated too much so well just have about a half a dozen friends and thatll be it but what do you say to thursday  paris took capulets hands in his own my lord i wish tomorrow was thursday  well off you go then thursday it is he saw paris out then turned to his wife go to juliet wife he said prepare her for her wedding day light he shouted hey light to my room he followed the servant muttering its so late that we should really call it morning,Act 3,Scene 4,Act 3Scene 4
